date,price
2018/1/4,209.5
2018/1/5,212.1
2018/1/9,212.8
2018/1/10,215
2018/1/11,216
2018/1/12,217.1
2018/1/15,218.9
2018/1/16,220.3
2018/1/17,218.1
2018/1/18,214.1
2018/1/19,215.7
2018/1/22,214.9
2018/1/23,217.3
2018/1/24,214.3
2018/1/25,211.5
2018/1/26,210
2018/1/29,210.2
2018/1/30,209
2018/1/31,205.3
2018/2/1,209.8
2018/2/2,207.6
2018/2/5,204.9
2018/2/6,200.1
2018/2/7,199.7
2018/2/8,201.2
2018/2/9,197.7
2018/2/13,195.9
2018/2/14,194.1
2018/2/15,196.3
2018/2/16,198.4
2018/2/19,202.8
2018/2/20,201.6
2018/2/21,199.4
2018/2/22,198.4
2018/2/23,199.7
2018/2/26,201.2
2018/2/27,202.2
2018/2/28,199.4
2018/3/1,197.7
2018/3/2,196.2
2018/3/5,195.1
2018/3/6,195.9
2018/3/7,194.2
2018/3/8,194.1
2018/3/9,194.1
2018/3/12,197.8
2018/3/13,196.8
2018/3/14,196.3
2018/3/15,194.9
2018/3/16,194.7
2018/3/19,193
2018/3/20,193.5
2018/3/22,193.3
2018/3/23,191.2
2018/3/26,191
2018/3/27,195
2018/3/28,192.6
2018/3/29,191.5
2018/3/30,191.4
2018/4/2,190.3
2018/4/3,189.9
2018/4/4,188.6
2018/4/5,191.2
2018/4/6,190.6
2018/4/9,192.9
2018/4/10,193.3
2018/4/11,193.9
2018/4/12,193.5
2018/4/13,195.2
2018/4/16,194.8
2018/4/17,193.5
2018/4/18,194.5
2018/4/19,195
2018/4/20,195.3
2018/4/23,197.5
2018/4/24,199.1
2018/4/25,199.2
2018/4/26,199.1
2018/4/27,198.4
2018/5/1,196.2
2018/5/2,196.7
2018/5/7,197
2018/5/8,198.2
2018/5/9,197.6
2018/5/10,198.1
2018/5/11,199.2
2018/5/14,199.7
2018/5/15,201.3
2018/5/16,201.5
2018/5/17,202.5
2018/5/18,202.9
2018/5/21,201.3
2018/5/22,200.9
2018/5/23,199.6
2018/5/24,195.1
2018/5/25,194.1
2018/5/28,194.3
2018/5/29,193.4
2018/5/30,190.4
2018/5/31,189.7
2018/6/1,191.1
2018/6/4,194.1
2018/6/5,192.8
2018/6/6,192.4
2018/6/7,193.9
2018/6/8,192.9
2018/6/11,193.5
2018/6/12,193.7
2018/6/13,194.1
2018/6/14,193.4
2018/6/15,191.9
2018/6/18,191
2018/6/19,190
2018/6/20,189.1
2018/6/21,186.9
2018/6/22,186.1
2018/6/25,186.1
2018/6/26,187.1
2018/6/27,186.5
2018/6/28,185.9
2018/6/29,186.5
2018/7/2,185.5
2018/7/3,186.2
2018/7/4,186.4
2018/7/5,185.1
2018/7/6,185.3
2018/7/9,188.1
2018/7/10,188.7
2018/7/11,188
2018/7/12,188
2018/7/13,188.9
2018/7/17,190
2018/7/18,190.1
2018/7/19,191
2018/7/20,190.4
2018/7/23,195.6
2018/7/24,195.6
2018/7/25,195.4
2018/7/26,196
2018/7/27,197
2018/7/30,199.5
2018/7/31,194.6
2018/8/1,199.8
2018/8/2,199.8
2018/8/3,197.5
2018/8/6,196.2
2018/8/7,196
2018/8/8,197.2
2018/8/9,197
2018/8/10,195
2018/8/13,192.5
2018/8/14,192.2
2018/8/15,191.4
2018/8/16,191.5
2018/8/17,193.6
2018/8/20,193.9
2018/8/21,193.3
2018/8/22,194.3
2018/8/23,193.6
2018/8/24,194.6
2018/8/27,195.4
2018/8/28,195.2
2018/8/29,197
2018/8/30,197.2
2018/8/31,195.1
2018/9/3,194.6
2018/9/4,194.1
2018/9/5,193.2
2018/9/6,192.9
2018/9/7,192
2018/9/10,192.9
2018/9/11,192.7
2018/9/12,192
2018/9/13,193.3
2018/9/14,194.9
2018/9/18,196.1
2018/9/19,198.3
2018/9/20,200.8
2018/9/21,203.4
2018/9/25,204.2
2018/9/26,199.2
2018/9/27,198.5
2018/9/28,198.2
2018/10/1,197.7
2018/10/2,198.6
2018/10/3,196.3
2018/10/4,198.8
2018/10/5,199.8
2018/10/9,198.3
2018/10/10,199.1
2018/10/11,194.2
2018/10/12,193.2
2018/10/15,190.1
2018/10/16,191.5
2018/10/17,193.2
2018/10/18,193.4
2018/10/19,193.7
2018/10/22,194.2
2018/10/23,191.3
2018/10/24,190.1
2018/10/25,187.9
2018/10/26,188.6
2018/10/29,187.9
2018/10/30,190.5
2018/10/31,194
2018/11/1,194.4
2018/11/2,194.7
2018/11/5,194.1
2018/11/6,195.7
2018/11/7,193.5
2018/11/8,196.5
2018/11/9,196.9
2018/11/12,196.6
2018/11/13,195.5
2018/11/14,195.2
2018/11/15,191.8
2018/11/16,192.6
2018/11/19,190.3
2018/11/20,189.9
2018/11/21,189.2
2018/11/22,189.1
2018/11/26,186.9
2018/11/27,187.9
2018/11/28,188
2018/11/29,188.2
2018/11/30,188.3
2018/12/3,188.5
2018/12/4,185.9
2018/12/5,185
2018/12/6,183.6
2018/12/7,183.5
2018/12/10,181
2018/12/11,179
2018/12/12,181.1
2018/12/13,180.9
2018/12/14,179.3
2018/12/17,179.7
2018/12/18,178.1
2018/12/19,176.5
2018/12/20,173.3
2018/12/21,170.8
2018/12/25,165.8
2018/12/26,166.5
2018/12/27,170.8
2018/12/28,170.3
2019/1/4,170.6
2019/1/7,171.9
2019/1/8,172.4
2019/1/9,173.7
2019/1/10,173.3
2019/1/11,174.1
2019/1/15,174.9
2019/1/16,175
2019/1/17,175.3
2019/1/18,176.2
2019/1/21,177.5
2019/1/22,176.9
2019/1/23,176.3
2019/1/24,178.5
2019/1/25,179.1
2019/1/28,178.4
2019/1/29,178.8
2019/1/30,177.9
2019/1/31,179.4
2019/2/1,172.9
2019/2/4,174.8
2019/2/5,174.3
2019/2/6,174.9
2019/2/7,173.4
2019/2/8,171
2019/2/12,173.4
2019/2/13,175.1
2019/2/14,174.7
2019/2/15,173.3
2019/2/18,175.1
2019/2/19,176
2019/2/20,176.2
2019/2/21,175.5
2019/2/22,175.3
2019/2/25,175.5
2019/2/26,175.1
2019/2/27,175.4
2019/2/28,175.2
2019/3/1,175.5
2019/3/4,176.1
2019/3/5,175.9
2019/3/6,175.2
2019/3/7,172.5
2019/3/8,170.1
2019/3/11,170.2
2019/3/12,171.9
2019/3/13,171.9
2019/3/14,171.1
2019/3/15,172.5
2019/3/18,173.6
2019/3/19,174.2
2019/3/20,175.5
2019/3/22,175.5
2019/3/25,173.6
2019/3/26,174.7
2019/3/27,171.4
2019/3/28,171.1
2019/3/29,171.3
2019/4/1,173.3
2019/4/2,174.1
2019/4/3,174.9
2019/4/4,174.8
2019/4/5,174.8
2019/4/8,174.1
2019/4/9,173.6
2019/4/10,172.6
2019/4/11,171.6
2019/4/12,171.7
2019/4/15,173.6
2019/4/16,173.6
2019/4/17,175.5
2019/4/18,175.6
2019/4/19,174.3
2019/4/22,174.2
2019/4/23,174.1
2019/4/24,172.8
2019/4/25,173
2019/4/26,173.5
2019/5/7,172.5
2019/5/8,170.4
2019/5/9,167.5
2019/5/10,167.3
2019/5/13,165.6
2019/5/14,165.2
2019/5/15,164.4
2019/5/16,161.9
2019/5/17,161
2019/5/20,158.8
2019/5/21,158
2019/5/22,157.6
2019/5/23,156.8
2019/5/24,157
2019/5/27,156.9
2019/5/28,157.3
2019/5/29,155.3
2019/5/30,155.9
2019/5/31,153.7
2019/6/3,151.6
2019/6/4,150.7
2019/6/5,153.1
2019/6/6,152.7
2019/6/7,152.6
2019/6/10,152.8
2019/6/11,154.4
2019/6/12,152.7
2019/6/13,152.3
2019/6/14,152.1
2019/6/17,151.4
2019/6/18,151.8
2019/6/19,153
2019/6/20,154.1
2019/6/21,154.4
2019/6/24,154.6
2019/6/25,153.8
2019/6/26,154.3
2019/6/27,156.3
2019/6/28,156.1
2019/7/1,157.7
2019/7/2,157.6
2019/7/3,157.1
2019/7/4,157.5
2019/7/5,157.8
2019/7/8,158.7
2019/7/9,159.3
2019/7/10,158.5
2019/7/11,158.8
2019/7/12,159.1
2019/7/16,158.6
2019/7/17,158
2019/7/18,155.9
2019/7/19,157.3
2019/7/22,158.5
2019/7/23,158
2019/7/24,158
2019/7/25,158
2019/7/26,157.4
2019/7/29,157.1
2019/7/30,157
2019/7/31,154.4
2019/8/1,159
2019/8/2,156.2
2019/8/5,155.9
2019/8/6,155.4
2019/8/7,155.5
2019/8/8,155.1
2019/8/9,155.4
2019/8/13,153.6
2019/8/14,154.1
2019/8/15,153.3
2019/8/16,153.8
2019/8/19,155.2
2019/8/20,156
2019/8/21,154.3
2019/8/22,154.3
2019/8/23,154.9
2019/8/26,152.9
2019/8/27,152.9
2019/8/28,152.8
2019/8/29,152.7
2019/8/30,154.7
2019/9/2,155.2
2019/9/3,155.1
2019/9/4,155.1
2019/9/5,157.4
2019/9/6,158.4
2019/9/10,164.2
2019/9/11,167.4
2019/9/12,167.9
2019/9/13,168
2019/9/17,168.9
2019/9/18,168.1
2019/9/19,168.5
2019/9/20,170.1
2019/9/24,170.5
